name,id,salary_from,salary_to,experience,requirement,url
Python developer (проект NtechMed),83033070,0,0,От 1 года до 3 лет,"Опыт работы с Python3 от 2-х лет. Знание ООП, алгоритмов и структур данных. Хорошее знание PostgreSQL (+ SQLAlchemy). ",https://hh.ru/
Python Middle+/Senior Developer (FastAPI),83530986,0,0,От 1 года до 3 лет,"Опыт работы с Python от 3х лет. Понимание DjangoORM и миграций. Опыт разработки API, работы с очередями и базами...",https://hh.ru/
Python developer (middle),82613352,0,0,От 3 до 6 лет,Опыт работы от 3 лет. Опыт работы с fastApi или другими async-фреймворками. Опыт работы с postgres. Опыт написания unit...,https://hh.ru/
Backend-разработчик на Python в офисе,83134113,75000,0,От 1 года до 3 лет,Хорошее владение языком программирования Python (синтаксис и стандартная библиотека). Понимание основных шаблонов проектирования приложений и шаблонов интеграции. Опыт разработки с...,https://hh.ru/
Разработчик Python(RuPost),43558725,0,0,От 1 года до 3 лет,"Отличное знание Python, Flask. Знание и опыт работы с HTTP/HTTPS. Опыт работы с JSON, XML. Для фокуса на web...",https://hh.ru/
Python Developer (Cars),84016023,0,0,От 3 до 6 лет,"Пишешь на Python больше 2-х лет. Работаешь с FastAPI, Django от 2-х лет. Знаешь SQL базово. ",https://hh.ru/
Python разработчик,83449672,0,0,От 1 года до 3 лет,Высшее техническое образование. Опыт работы с реляционными БД и знание языка SQL. Опыт программирования на Python от 2х лет. ,https://hh.ru/
Python Developer,82847795,0,0,От 1 года до 3 лет,"Python 3.6+. Flask. Знание реляционных БД: SQLite / PostgreSQL. Опыт работы с ORM SQLalchemy, миграции Alembic. Опыт работы с...",https://hh.ru/
Разработчик Python,84078070,150000,0,От 3 до 6 лет,"Знание технологий и языков программирования: Python, SQL, JavaScript (желательно, но можно освоить в процессе). Умение работать с системой контроля версий...",https://hh.ru/
Python developer,84159128,0,0,От 3 до 6 лет,Уверенные знания Python от 2х лет. Умение составлять сложные SQL-запросы. Навыки работы в Linux|Unix системах. ,https://hh.ru/
Разработчик Python (PostgreSQL),83226812,0,0,От 1 года до 3 лет,Обязательно. Опыт программирования Python. Понимание REST. Понимание процессов CI/CD. Знание и опыт SQL (желательно в PostgreSQL). Знание Linux на...,https://hh.ru/
Разработчик Python,84125839,0,0,От 3 до 6 лет,Опыт разработки на Pyhton (3.6+) для ОС семейства Linux от 2 лет. Знания Linux на уровне опытного пользователя. ,https://hh.ru/
Python разработчик,83290711,0,0,От 1 года до 3 лет,"Опыт коммерческой разработки на Python от 3 лет. Знание одного из веб-фреймворков: aiohttp; fastapi, tornado, понимание ORM. ",https://hh.ru/
"Помощник программиста на python/php и zero-code платформ (make, airtable, botmother)",83361549,50000,0,От 1 года до 3 лет,"Уметь эффективно гуглить и общаться с chatgpt, чтобы решить поставленную задачу. Умение работать с git будет плюсом.",https://hh.ru/
Python Developer,83839694,0,0,Более 6 лет,"5+ - ваш общий опыт в коммерческой разработке. 2+ опыта в руководстве/менторинге. Работали с Django 3+, Redis...",https://hh.ru/
Разработчик Python,84126302,0,0,От 3 до 6 лет,Опыт разработки на Pyhton (3.6+) для ОС семейства Linux от 2 лет. Знания Linux на уровне опытного пользователя. ,https://hh.ru/
"Аналитик SQL,Python",83136580,0,0,От 1 года до 3 лет,Владение методологией и знание процедуры (SQL) расчета показателей Качества Данных. Аудит процессов и данных в рамках заявленных бизнес-проблем (в...,https://hh.ru/
Программист Python,77005951,0,0,От 1 года до 3 лет,"Уверенное владение Python 3.8+, asyncio (async/await). Умение и желание писать качественный, читабельный, поддерживаемый и документированный код. ",https://hh.ru/
Python-разработчик,81723177,0,0,От 1 года до 3 лет,"Знание построения архитектуры ПО, паттернов и принципов написания и тестирования кода. Уверенные знания асинхронного python3 и основной экосистемы. ",https://hh.ru/
Разработчик Python,83703081,0,0,От 1 года до 3 лет,"Python 2/3 на хорошем уровне, C/C++/Java базовые знания или C/C++/Java на хорошем уровне Pyton 2...",https://hh.ru/
RPA разработчик на Python,84071086,0,0,От 3 до 6 лет,Хорошее знание Python. Опыт работы в роли разработчика ПО или разработчика автотестов на Python от 3 лет. Опыт написания Unit...,https://hh.ru/
Python developer,83786580,0,0,От 1 года до 3 лет,Опыт промышленной разработки от 1 года. Знание классических структур данных и алгоритмов. Опыт разработки клиент-серверных приложений. Знание основных паттернов...,https://hh.ru/
Python developer,83690808,0,0,От 1 года до 3 лет,"Понимание принципов ООП, паттернов/шаблонов проектирования. Опыт работы с любой реляционной СУБД. Знание механизмов межсервисного взаимодействия (HTTP, REST API, Брокеры...",https://hh.ru/
Python разработчик,82975815,0,0,От 1 года до 3 лет,Опыт разработки на Python. Python 3.10+. Базовое знание git. Понимание принципов асинхронного и параллельного выполнение кода. ,https://hh.ru/
Разработчик Python/ETL,83836011,0,0,От 1 года до 3 лет,Какие знания и навыки для нас важны: Опыт разработки приложений по работе с данными на Python от двух лет. ,https://hh.ru/
Специалист службы поддержки с техническими знаниями (TOOLS),39820062,15000,0,Не имеет значения,"TOOLS — это команда поддержки внутренних сервисов Яндекса. Они помогают нашим сотрудникам разбираться, как пользоваться рабочими инструментами, если что-то непонятно. У специалиста служба поддержки в TOOLS будет возможность попасть в закулисье Яндекса. Предстоит помогать столкнувшимся с трудностями сотрудникам или находить того, кто сможет на сложный вопрос ответить лучше всех. Ищем и очень ждем в команду человека с техническими знаниями, пониманием мира кода и онлайна. Если умеете находить контакт с любыми, даже самыми загадочными людьми, и можете прочитать чужие мысли, присоединяйтесь — станьте нашим супергероем.
Что нужно делать:
· отвечать на сообщения пользователей по почте и в чатах;
· консультировать их о вопросах, связанных с Яндексом;
· передавать информацию разработчикам и менеджерам, помогая улучшать сервисы;
· иногда решать новые интересные задачи — ведь мы постоянно растем и меняемся.
Мы ждем, что вы:
· грамотно пишете по-русски;
· умеете четко и структурированно излагать мысли;
· легко находите главную информацию в текстах разного объема;
· умеете читать языки JavaScript, HTML и Python;
· имеете высшее или неоконченное высшее образование (техническое будет плюсом);
· помогали людям онлайн;
· умеете работать самостоятельно и в команде;
· готовы к гибкому графику;
· ответственны, стрессоустойчивы, самоорганизованны;
· умеете работать с большим объемом информации;
· готовы учиться;
· не устаете от однообразных задач.
Условия:
· работа из дома;
· оформление совместительства;
· частичная занятость: 20 рабочих часов в неделю;
· гибкий график: 5-дневная рабочая неделя, 4 рабочих часа в день, плавающие выходные, начало смен обсуждается индивидуально;
· сдельная оплата;
· удаленное оплачиваемое обучение.
 Доступно соискателям с инвалидностью",https://www.superjob.ru/
Аналитик данных (Управление Сквозные бизнес-компоненты),46781769,0,0,От 3 лет,"Обязанности:
 
• создавать, развивать и поддерживать регулярную отчетности для топ-менеджмента;
 
• создавать Ad-hoc аналитические отчеты для проверки продуктовых гипотез по запросу руководства;
 
• генерировать и проверять статистические гипотезы;
 
• определять ключевые метрики по новым фичам, прогнозировать как они увеличатся после запуска фичи и следить за их выполнением;
 
• создавать системы аналитических бордов по клиентским и продуктовым метрикам в BI системах.
 
Требования:
 
• знание Teradata, Hadoop, DBeaver, Bigquery, Python, PyCharm, JupyterHub, Yandex Metrica, AppMetrica, PowerBI, QlickSense;
 
• знание SQL (сложные запросы, оконные функции);
 
• знание python (библиотеки для аналитиков, pyspark);
 
• опыт построения бордов(powerbi, qlick sense);
 
• опыт работы в Yandex Metrica и AppMetrica;
 
• знание основных продуктовых метрик и как их считать;
 
• будет плюсом умение строить модели ML.
 
Условия:
 
• трудоустройство согласно Законодательству;
 
• конкурентная заработная плата;
 
• профессиональное обучение и развитие;
 
• добровольное медицинское страхование, льготные условия кредитования;
 
• корпоративная пенсионная программа, материальная помощь;
 
• спортивная жизнь и корпоративные мероприятия;
 
• возможность построить карьеру в ведущем банке России.",https://www.superjob.ru/
Full stack python developer,46891033,200000,0,От 1 года,"ФГБУ ""НМИЦ онкологии им. Н.Н. Петрова"" Минздрава России является одним из ведущих учреждений специализирующихся на оказание медицинской помощи по профилю ""онкология"". Учреждение имеет обширную базу исследований: лучевых методов диагностики, морфологии, а также большое количество медицинских данных пациентов с онкологическими заболеваниями. В настоящее время организация ищет Full Stack разработчика на Python для работы с алгоритмами машинного обучения и искусственного интеллекта
 Должностные обязанности:
 * Разработка веб-интерфейса для разметки данных
 * Консультирование / участие в автоматизации источников данных для ML моделей совместно с ML Engineer/Data Engineer 
Требования:
 - Высшее техническое образование в сфере компьютерных наук, прикладной математики или статистики (желательно)
- 2+ года опыта с React.js и Python.
- Знание фреймворков Django, Flask или Streamlit (желательно)
- Контейнеризация: Docker, OpenShift;
- Опыт с базами данных: MongoDB, PostgreSQL
- Инструменты DevOps (MLOps): Git, Jira, Bitbucket, Nexus, Jenkins
- Технический английский статьи, документация
- Понимание жизненного цикла моделей (CRISP-DM) (желательно)
- Знание основных алгоритмов и методов машинного обучение и анализа данных: линейные модели, ансамблевые методы, анализ и прогнозирование временных рядов (задачи классического Машинного Обучения) (желательно)
- Знание фреймворков, библиотек машинного обучения: Scikit-learn, XGBoost, CatBoost, TensorFlow, Pytorch, Hugging Face transformers (желательно) 
Условия:
* Трудоустройство в соответствии с ТК РФ
* Белая зарплата
* Возможность разрабатывать продукты востребованные для системы здравоохранения, которые позволяют повысить качество оказания медицинской помощи по профилю ""онкология""
* Возможность участвовать с презентацией проектов на профильных конференциях",https://www.superjob.ru/
Руководитель направления в Центр резервирования и планирования,47009395,0,0,От 1 года,"Обязанности: 
• 
Формирование и автоматизация регулярной риск-отчетности по портфелю корпоративного и инвестиционного бизнеса;
 
 
• 
Расчет риск-показателей, аналитика портфеля;
 
 
• 
Разработка дэшбордов с использованием средств MS Power BI;
 
 
• 
Формирование бизнес-требований на реализацию витрин / дэшбордов.
 
 
Требования: 
• 
Опыт работы от 1 до 3 лет в Банках / финансовых организациях (направления: риски / портфельный анализ / автоматизация отчетности);
 
 
• 
Высшее образование (финансы и кредит);
 
 
• 
Уверенное знание SQL, MS Excel, Python (желательно);
 
 
• 
Опыт самостоятельной разработки дэшбордов на MS Power BI (желательно);
 
 
• 
Глубокие аналитические навыки.
 
 
Мы предлагаем Вам: 
• 
Стать частью крупного, динамично развивающегося банка;
 
 
• 
Работу в команде единомышленников, неравнодушных к передовым технологиям и практикам;
 
 
• 
Неограниченные возможности для совершенствования Ваших навыков и знаний, обучаясь у лучших и решая сверхамбициозные задачи;
 
 
• 
Позитивную рабочую атмосферу, дружный коллектив;
 
 
• 
Удобное расположение офисов;
 
 
• 
Достойную и конкурентную заработную плату, квартальные и годовые премии, размер которых зависит от результатов Вашей работы;
 
 
• 
Разнообразный социальный пакет: ДМС, страхование жизни, страхование для выезжающих за границу, льготные условия приобретения банковских продуктов, скидки в фитнес-клубах и в компаниях-партнерах.",https://www.superjob.ru/
"Преподаватель программирования, веб-разработки",38561557,35000,0,Без опыта,"Обязанности:
• Реализация ряда дисциплин, связанных с использованием информационных технологий в образовании для студентов направления подготовки Информационные системы и программирование (Квалификации Программист и Разработчик мультиседийных и веб приложений 
• Знакомство студентов с основами программирования на CИ++, разработка управляемых приложений на платформе «1С:Предприятие», использования различных программных решений, создания веб-приложений и т.д.


• ЕСЛИ У ВАС НЕТ ПЕДАГОГИЧЕСКОГО ОБРАЗОВАНИЯ,НО ЕСТЬ ЖЕЛАНИЕ ДЕЛИТЬСЯ ОПЫТОМ И ЗНАНИЯМИ СО СТУДЕНТАМИ, КОТОРЫЕ ПЛАНИРУЮТ СВЯЗАТЬ СВОЮ ЖИЗНЬ С IТ, МЫ ОРГАНИЗУЕМ ДЛЯ ВАС ПРОФЕССИОНАЛЬНУЮ ПЕРЕПОДГОТОВКУ.

Знать:

 
• Языки программирования: C/C#/C++, Python, Java, JavaScript, Assembler и др.
• Web-разработка: HTML, CSS, PHP, JavaScript;
• Разработка компьютерных игр: Unity;
• Разработка бизнес приложений на платформе «1С:Предприятие»;
• Робототехника;
• Компьютерное железо;
• Администрирование Windows, Linux;
• Микроконтроллеры: Arduino, ESP32, STM32 и др.;
• Системное администрирование Windows или Linux;
• Компьютерные сети.
Условия:
• Работа в Аудиториях обустроенных современным оборудованием (i5/i7 последних поколений, 16/32 gb RAM, GTX1650/RTX2070Super) 
• Оформление согласно ТК РФ",https://www.superjob.ru/
DevOps Team Lead,42890350,0,0,От 3 лет,"КуулКлевер Лаб – цифровая команда КуулКлевер, развивающая собственные ITпроекты. Пока на производствах КуулКлевер готовят натуральные продукты, мы создаём продукты в IT и строим своеобразный мост между гостями и компанией, чтобы покупатели легко могли купить продукты онлайн и офлайн, а КуулКлевер — приготовить и доставить.
Команда ИТ состоит из 51 разработчика + support + QA + DevOps engineer.
Сейчас ищем в команду DevOps Team Lead.
Основные задачи:
• Поддержка, внедрение и улучшение CI/CD процессов
• Сопровождение сервисов от разработки до эксплуатации, участие в эксплуатации
• Развертывание, мониторинг и отладка dev/stage/prod сред
• Администрирование *nix платформ (Centos, Ubuntu)
• Внедрение и поддержка devops процессов/инструментов
• Поиск и устранение неисправностей, узких мест в работе инфраструктурной части проектов
• Работа с Docker и Kubernetes
• Администрирование (установка, настройка, репликация, кластеризация) СУБД
• Разработка скриптов для автоматизации задач эксплуатации
Необходимые опыт и знания:
• Опыт построения реальных нагруженных отказоустойчивых публичных сервисов с помощью Docker и Kubernetes
• Опыт построения и оптимизации CI/CD-цепочек
• Знания и опыт работы с DevOps инструментами (Gitlab, Ansible)
• Знания и опыт разработки скриптов (python/bash/perl и др.) для автоматизации широкого спектра задач
• Знания и опыт работы с Grafana, Zabbix, Prometheus и др. средствами мониторинга и отслеживания событий/метрик, дашбордов
• Понимание механизма работы сетей, протоколов маршрутизации, VPN, firewall, DNS, DHCP и пр.
• Опыт работы с системами контроля версий (Git)
• Опыт руководства командой
• Самостоятельность в решении поставленной задачи
• Ответственность за результат
• Умение быстро ориентироваться при поиске проблем
Необязательно, но будет плюсом:
• Опыт программирования PHP/NodeJS
• Опыт программирования SQL
Мы предлагаем:
• Работа в аккредитованной ИТ-компании
• Варианты формата работы: гибрид либо в офисе
• Офис расположен в бизнес-парке Бугров, бесплатная парковка
• Официальное оформление: полностью «белая» з/п; все социальные гарантии
• Персональное предложение по заработной плате, соответствующее опыту и ожиданиям кандидата
• Мы заинтересованы в том, чтобы сотрудники развивались, поэтому компания может компенсировать обучение сотрудников и участие в конференциях",https://www.superjob.ru/
Программист,45594068,60000,0,От 1 года,"Обязанности:
• Реализация алгоритмов и структур данных для решения задач
• организации. Разработка веб-сервисов, системных утилит, систем
• автоматизации. Осуществление технической поддержки сотрудников. 
Требования:
• Высшее техническое образование. Уверенное знание и опыт
• разработки на Python 3, JS, PostgreSQL. Опыт работы с Linux на уровне
• администратора. 
• Знание современных информационных и сетевых технологий.
• Готовность работать в режиме многозадачности. 
Условия:
• 40-часовая р/неделя, 8-часовой р/день, с 8.00 до 17.00, выходной - суббота, воскресенье
• Удалённая работа не рассматривается",https://www.superjob.ru/
Аналитик,45733204,150000,0,От 3 лет,"Перечень задач:
• Организация доступности информации для оперативного/тактического/стратегического управления. Проектирование и разработка витрин данных
• Разработка аналитической отчетности.
• Разработка дашбордов для оперативного и стратегического управления.
Управленческие компетенции:
• Желательно:
• Опыт управление проектом/ управление продуктом в областях:
• Управленческая отчетность
• Учетные системы
• Витрины данных
• BI системы
Технические компетенции:
• BI инструменты и инструменты подготовки данных
• Python/Jupiter Notebook
• Apache Airflow
• Google Sheet + Apps Script
• Excel
• Системы для управления связками между сервисами (например N8N)
• Базы данных
• Математика на здоровом уровне
• Эстетический вкус в визуализация и презентации данных
• Способность задавать вопросы, структурировать и систематизировать.
Условия:

• График работы с понедельника - по пятницу, с 8:00 - 17:00 (09:00 до 18:00)
• Соблюдение трудового законодательства (официальное оформление с первого рабочего дня, ""белая"" заработная плата, оплачиваемые отпуска и больничные);
• Стабильный рост заработной платы.
• Корпоративные подарки от Компании на рождение ребенка, на 23 февраля. Новогодние подарки детям сотрудников.
• Корпоративные скидки на нашу продукцию.",https://www.superjob.ru/
Data Scientist,46185192,0,0,От 1 года,"Обязанности:
• Использовать алгоритмы машинного обучения для решения бизнес-задач 
• Исследовать данные с целью получения новых признаков 
• Разрабатывать требования для сбора данных, дизайн A/B тестов 
• Заниматься написанием эффективного кода для получения агрегатов данных 
• Развивать инфраструктуру для автоматического построения и использования моделей машинного обучения 
Требования:
• Высшее техническое образование 
• Уверенное знание SQL и готовность писать эффективные запросы
• Уверенное владение Python (библиотеки работы с данными)
• Опыт использования и внедрения алгоритмов машинного обучения
• Знание базовых алгоритмов и структур данных, понимание плюсов и минусов 
• Уверенное знание математической статистики, умение применять для решения задач 
• Технический английский на уровне чтения статей и участия в конференциях 
Условия:
• формат работы;
• График работы: 5/2; 8.00-17.00, 9.00-18.00 или 10.00-19.00 (на выбор);
• Полугодовой бонус;
• ДМС - после испытательного срока;
• Дисконтная карта на продукцию 30% магазинов сети + корпоративные скидки и специальные условия от партнеров;
• Обучение - доступно внутреннее и внешнее обучение, проводим внутренние митапы, техтолки, посещаем профильные конференции;
• Некоторые бонусы предоставляются по принципу ""кафетерия"". Расскажем об этом подробнее при первом контакте.",https://www.superjob.ru/
Data engineer,47011454,0,0,От 3 лет,"SuperJob.ru — крупнейший российский интернет-сервис для поиска работы и сотрудников. Мы помогаем миллионам пользователей найти работу. 
Ежемесячно нашим сервисом пользуются миллионы соискателей и десятки тысяч работодателей, среди которых РЖД, Мегафон, МТС, Леруа Мерлен, Почта России, Сбербанк, Альфа-Банк, Ригла и многие другие. Мы активно развиваем нашу платформу и делаем ее лучше, подтверждая миссию «Работа должна доставлять удовольствие!» 

Наша цель — создать лучший продукт для каждого из наших пользователей. В этом нам помогает система, которая собирает данные из внутренних и внешних источников, а также из наших мобильных приложений. Ежедневно мы собираем и обрабатываем десятки миллионов событий от более чем миллиона пользователей, и это количество растет очень быстро.
В своей работе мы используем аналитическую базу данных ClickHouse, систему визуализации на базе Superset\Metabase и множество других инструментов для работы с Big Data. В команду ищем человека, который поможет нам развивать эту систему.
Чем придётся заниматься:
• Работать с DWH, проектировать схемы для хранения данных.
• Загружать данные из различных источников (как внутренних БД, так и внешних аналитических/маркетинговых платформ и т.д.) в DWH.
• Разрабатывать, поддерживать и оптимизировать витрины данных.
• Участвовать в организации CI/CD и мониторинга процессов обработки данных.
• Искать ошибки и аномалии в данных, управлять качеством данных, автоматизировать проверку качества данных.
Что ждём от вас:
• Уверенное знание SQL (аналитические функции, CTE, оптимизация запросов под Clickhouse и организация хранения данных в Clickhouse).
• Хорошее знание Python (основные типы данных, основы ООП, основы алгоритмизации и взаимодействия с API).
• Неудержимое желание обучаться и прокачиваться с нашей всевозможной поддержкой.
Будет плюсом опыт работы с:
• Большими объёмами данных.
• ClickHouse cluster.
• Linux, Docker, Jenkins/Airflow/Dagster.
• CDC в Clickhouse через Kafka+Debezium.
• Flask, SqlAlchemy.
Своему будущему коллеге мы предлагаем:
• Работу в одном из самых быстрорастущих рынков - HRTech.
• Высокую инженерную культуру.
• Непрерывное обучение и профессиональное развитие внутри компании.

• Возможность стать частью сплоченной команды, любящей свое дело.

• Регулярную обратную связь от наставников и руководителей.

• Официальную заработную плату.

• ДМС после прохождения испытательного срока.

• Современный офис в 10 минутах пешей прогулки от станций метро Пушкинская/Маяковская/Чеховская/Новослободская. 3D-тур: public.superjob.ru/3dtour/ 
• Спортивный уголок.
• Комфортную зону отдыха.
• Кофе-поинты с вкуснейшим кофе и вендинговым аппаратом.
• Оборудованное просторное место для питания.
• Оплату проезда общественным транспортом.",https://www.superjob.ru/
Преподаватель спецдисциплин (информационные системы и программирование),45443355,85000,0,От 3 лет,"Обязанности:
• 
Проведение занятий по учебным предметам, курсам, дисциплинам (модулям) образовательной программы в соответствии с расписанием учебных занятий. Разработка и обновление рабочих программ учебных предметов, курсов, дисциплин (модулей) и т.д. Планирование, в соответствии с локальными актами колледжа, занятий по учебным предметам, курсам, дисциплинам (модулям) программ. Ведение документации. Выполнение должностных обязанностей в соответствии с требованиями безопасности.
 
 Преподавание по специальности 09.02.07 Информационные системы и программирование следующих дисциплин Преподавание следующих дисциплин:
 
ОП.04 Основы алгоритмизации и программирования
 
МДК.05.01 Проектирование и дизайн информационных систем
 
МДК.01.01 Разработка программных модулей
 
МДК.01.02 Поддержка и тестирование программных модулей
 
МДК.01.03 Разработка мобильных приложений 
 
МДК.02.01 Технология разработки программного обеспечения 
 
 Классное руководство

Требования:
• 
Владение математическим аппаратом, алгеброй логики.
• 
 Знание/понимание алгоритмов и языков программирования (C#, C++, JS, PHP, Python — уровень выше среднего).
• Знание методов программирования (процедурный и ООП) 
Условия:
• Опыт преподавательской деятельности",https://www.superjob.ru/
Инженер сопровождения программного обеспечения,46883126,90000,0,От 3 лет,"Обязанности:
• Участие в новых проектах компании
• Взаимодействие с разработчиками программного обеспечения по задачам, требующим доработки или исправления ПО
• Проведение экспертиз для поисков решений, направленных на устранение потенциальных проблем в программном обеспечении
• Поддержка установленных систем
• Проведение тестирования программного обеспечения
• Подбор и сборка оборудования
• Участие в пусконаладке разработанных систем
• Разработка верхнеуровневой документации
• Проведение внутренних презентаций/обучения разработанных систем
Требования:
• 
Работа с ОС семейства Unix/Windows
• 
Опыт работы и администрирования серверного оборудования
• 
Опыт работы с embedded системами и одноплатными компьютерами
• 
Опыт сборки различных устройств и их компонентов
• 
Опыт написания скриптов (bash / python / Perl …)
• 
Знакомство с принципами работы БД (sql, nosql) и основами языка sql и понимание его семантики
• 
Опыт владения системами контейнеризации (Docker, Docker compose) и виртуализации
• 
Понимание принципов разработки ПО, архитектуры ПО и сетей, методик и видов тестирования ПО и оборудования
• 
Опыт в тестировании ПО и оборудования 
• 
Опыт в диагностике и устранении ошибок в работе компьютерного оборудования (как в части ПО, так и в “железной” части)
• 
Опыт работы с системами контроля версий GitHub / git lab / bit bucket 
• 
Владение английском языком (минимум: понимание документации, возможность проводить презентации по заранее изученному тексту)
• 
Готовность работы в стартапах внутри компании
• 
Опыт работы и написания технической документации, функциональных требований, ведение инвентаризационных документов отдела, методик приемно-сдаточных работ
• 
Готовность к командировкам
• 
Инициативность
• 
Коммуникабельность
• 
Аналитический склад ума
• 
Будет плюсом умение работы с 3D моделями для печати на 3D принтере
Условия:
• 
работа в стабильной компании, работающей по международным стандартам;
• 
оформление согласно ТК РФ (ежегодный оплачиваемый отпуск, оплачиваемый больничный лист);
• 
пятидневная рабочая неделя, работа в офисе, строго не удаленно;
• 
работа в молодом, дружном коллективе;
• 
уютный, комфортный офис в 7 минутах от м. Динамо.",https://www.superjob.ru/
